quote_date,item_id,name,date,median,price,p,keep,date2,date3,newDate,_merge
198810,510413,B. Men's socks,9,1.9576923,8090,.51076937,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198811,212511,C. Lettuce,10,.79708332,10,.54083335,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,212511,C. Lettuce,10,.79708332,1020,.057500005,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,212511,C. Lettuce,10,.79708332,2030,.071249962,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,212511,C. Lettuce,10,.79708332,3040,.082499981,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,212511,C. Lettuce,10,.79708332,4050,.045000017,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,212511,C. Lettuce,10,.79708332,5060,.053750038,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,212511,C. Lettuce,10,.79708332,6070,.032499969,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,212511,C. Lettuce,10,.79708332,7080,.029583335,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,212511,C. Lettuce,10,.79708332,8090,.02791667,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,320108,D. Cigarettes,10,1.5133333,10,1.4458333,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,320108,D. Cigarettes,10,1.5133333,1020,.0075000525,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,320108,D. Cigarettes,10,1.5133333,2030,.017499924,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,320108,D. Cigarettes,10,1.5133333,3040,.015833378,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,320108,D. Cigarettes,10,1.5133333,4050,.026666641,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,320108,D. Cigarettes,10,1.5133333,5060,.029166698,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,320108,D. Cigarettes,10,1.5133333,6070,.028333306,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
198811,320108,D. Cigarettes,10,1.5133333,7080,.025833368,1,01-11-1988,01-11-1988,1988-11-01,matched (3)
